,,,
,,,
,,,
REG,DEP,COM,C16_MENPSEUL
84,1,1202,455
84,1,1202,620
84,1,1203,105
84,1,1204,78
84,1,1205,134
84,1,1206,29
84,1,1207,26
84,1,1208,25
84,1,1209,67
84,1,1210,44
84,1,1211,208
84,1,1212,91
84,1,1213,107
84,1,1214,20
84,1,1215,9
84,1,1216,105
84,1,1218,10
84,1,1219,20
84,1,1221,24
84,1,1224,305
84,1,1225,25
84,1,1227,40
84,1,1228,74
84,1,1229,158
84,1,1230,49
84,1,1231,198
84,1,1232,300
84,1,1233,20
84,1,1234,20
84,1,1235,132
84,1,1236,121
84,1,1237,133
84,1,1238,170
84,1,1239,61
84,1,1240,80
84,1,1241,146
84,1,1242,23
84,1,1243,101
84,1,1244,444
84,1,1244,495
84,1,1244,158
84,1,1245,115
84,1,1246,230
84,1,1247,56
84,1,1248,144
84,1,1249,365
84,1,1249,603
84,1,1249,172
84,1,1250,100
84,1,1252,69
84,1,1254,140
84,1,1255,63
84,1,1257,32
84,1,1258,65
84,1,1259,37
84,1,1260,20
84,1,1261,45
84,1,1262,359
84,1,1262,650
84,1,1263,435
84,1,1264,88
84,1,1265,510
84,1,1266,445
84,1,1267,95
84,1,1268,25
84,1,1269,646
84,1,1272,229
84,1,1273,180
84,1,1274,62
84,1,1275,243
84,1,1276,78
84,1,1277,25
84,1,1279,22
84,1,1280,36
84,1,1281,617
84,1,1282,26
84,1,1283,221
84,1,1283,409
84,1,1283,152
84,1,1283,433
84,1,1283,443
84,1,1283,182
84,1,1283,428
84,1,1283,3
84,1,1283,370
84,1,1283,383
84,1,1283,122
84,1,1283,12
84,1,1284,47
84,1,1285,74
84,1,1286,80
84,1,1288,300
84,1,1289,465
84,1,1289,445
84,1,1290,155
84,1,1291,64
84,1,1293,16
84,1,1294,95
84,1,1295,30
84,1,1296,45
84,1,1297,52
84,1,1298,10
84,1,1299,44
84,1,1301,274
84,1,1302,20
84,1,1303,279
84,1,1304,330
84,1,1305,537
84,1,1306,330
84,1,1307,120
84,1,1308,102
84,1,1309,15
84,1,1310,10
84,1,1311,5
84,1,1313,1023
84,1,1314,188
84,1,1317,42
84,1,1318,26
84,1,1319,40
84,1,1320,404
84,1,1321,73
84,1,1322,332
84,1,1323,110
84,1,1325,65
84,1,1328,35
84,1,1329,30
84,1,1330,20
84,1,1331,26
84,1,1332,49
84,1,1333,357
84,1,1334,38
84,1,1335,21
